266219601002647552	Nada mejor que empezar el dia con un #temblor #sismo ...	Not labeled	Not related	0	es	GAU	6	1	0	56	10	2
266596404695298050	Ascienden 52 los muertos y 1,2 millones de afectados por terremoto en Guatemala:      La cifra de muertos por el... http://t.co/YyCHBArU	Affected individuals	Related and informative	1	es	GAU	8	1	0	136	24	0
266257366536839168	RT @TWCBreaking: Sad news to report from #Guatemala - at least 8 confirmed dead, possibly more, by this morning's major earthquake.	Affected individuals	Related and informative	1	en	GAU	7	3	0	131	21	1
268737718522114048	Aumenta a 44 el número de muertos por terremoto en Guatemala http://t.co/kvZBDaUq	Affected individuals	Related and informative	1	es	GAU	5	1	0	82	16	0
266444965184430080	RT @ansa_live: Terremoto in Guatemala: almeno 48 morti, 23 i dispersi: Presidente, bilancio potrebbe aggravarsi http://t.co/0hTFhXPv	Affected individuals	Related and informative	1	it	GAU	8	0	0	132	19	0
269938224829456384	#Temblor♨ M 4.9, 223km NW of Saumlaki, Indonesia http://t.co/gKSGUBAP #Earthquake #Sismo	Not labeled	Not related	0	en	GAU	9	1	0	90	15	3
269887222076030976	#chile 67 km al O de Arica:  Preliminar: Si Magnitud: 3 Profundidad: 46 Km Hora cerca del Epicentro: 2012... http://t.co/JR5nimin #sismo	Not labeled	Not related	0	es	GAU	11	0	0	136	24	2
266301096341934080	Un sismo en Guatemala. De 7.4 grado..	Caution and advice	Related and informative	1	es	GAU	3	0	0	37	8	0
266223371711295488	RT @Hiper_Paiz: Los mayas estan bailando el ¡OPPA GANGNAM STYLE!  #TemblorGT	Not applicable	Related - but not informative	1	es	GAU	7	2	0	77	11	1
266262009622978560	RT @MGORcolo9: Como mi #Guatemala no hay 2 a todo le buscan chiste -por eso ay qe chupar ay que chupar que el mundo se va a acabar haha  ...	Not labeled	Not related	0	es	GAU	6	4	4	140	29	1
266225116524982274	RT @BillWixey: BREAKING: A 7.5-magnitude earthquake has hit off the coast of Guatemala, according to the U.S. Geological Survey.	Other Useful Information	Related and informative	1	en	GAU	7	4	0	128	22	0
266290342167474176	“@FoxNews: Magnitude-7.4 earthquake strikes off coast of Guatemala, reportedly killing at least 15 http://t.co/ByGL3U8T” - praying for Guat.	Affected individuals	Related and informative	1	en	GAU	7	3	0	144	22	0
267846944821493761	#terremoto report M 4.7, offshore Guatemala: Monday, November 12, 2012 03:31:17 UTCSunday, November 11, 2012 09:... http://t.co/ve3Hshql V	Other Useful Information	Related and informative	1	en	GAU	10	0	0	138	24	1
266256972284846080	RT @BBCBreaking: At least 8 people reported dead following earthquake off Pacific coast of Guatemala http://t.co/FT1pfqr2	Affected individuals	Related and informative	1	en	GAU	6	3	0	121	19	0
266239632998555648	Presidente Otto Pérez declares red alert in all of the country of #Guatemala.  Insivumeh removed the tsunami alert. http://t.co/peqm3GGH	Caution and advice	Related and informative	1	en	GAU	9	2	0	137	23	1
266221299712552960	Impactantes imágenes de la devastación luego del temblor #TemblorGT http://t.co/l59X7nde	Other Useful Information	Related and informative	1	es	GAU	5	1	0	90	15	1
271677439099428865	Situación en Navidad: autoridades no descartaron que pueda haber un temblor de mayor intensidad #sismo http://t.co/tFlYMcHp vía @soychilecl	Not labeled	Not related	0	es	GAU	8	1	0	141	23	1
